fname_i,label_i,fname_j,label_j,pix_corr,path_i,path_j
34.jpg,batik-gentongan,35.jpg,batik-priangan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-gentongan/34.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-priangan/35.jpg
2.jpg,batik-garutan,24.jpg,batik-priangan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-garutan/2.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-priangan/24.jpg
12.jpg,batik-sidoluhur,24.jpg,batik-sidomukti,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sidoluhur/12.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sidomukti/24.jpg
8.jpg,batik-keraton,1.jpg,batik-pekalongan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-keraton/8.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-pekalongan/1.jpg
1.jpg,batik-parang,27.jpg,batik-pekalongan,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-parang/1.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-pekalongan/27.jpg
34.jpg,batik-keraton,36.jpg,batik-sidomukti,1.0,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-keraton/34.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sidomukti/36.jpg
3.jpg,batik-sidoluhur,22.jpg,batik-sidomukti,0.9999,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sidoluhur/3.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sidomukti/22.jpg
34.jpg,batik-gentongan,49.jpg,batik-keraton,0.9999,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-gentongan/34.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-keraton/49.jpg
3.jpg,batik-ciamis,18.jpg,batik-priangan,0.9999,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ciamis/3.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-priangan/18.jpg
5.jpg,batik-priangan,43.jpg,batik-sidoluhur,0.9999,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-priangan/5.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sidoluhur/43.jpg
49.jpg,batik-keraton,35.jpg,batik-priangan,0.9999,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-keraton/49.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-priangan/35.jpg
46.jpg,batik-keraton,12.jpg,batik-sidoluhur,0.9994,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-keraton/46.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sidoluhur/12.jpg
46.jpg,batik-keraton,24.jpg,batik-sidomukti,0.9994,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-keraton/46.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sidomukti/24.jpg
8.jpg,batik-keraton,10.jpg,batik-pekalongan,0.9905,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-keraton/8.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-pekalongan/10.jpg
19.jpg,batik-ceplok,19.jpg,batik-kawung,0.9885,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/19.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-kawung/19.jpg
16.jpg,batik-bali,13.jpg,batik-ceplok,0.9451,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-bali/16.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/13.jpg
43.jpg,batik-ceplok,39.jpg,batik-sekar,0.9237,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/43.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sekar/39.jpg
43.jpg,batik-ceplok,44.jpg,batik-sekar,0.9064,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-ceplok/43.jpg,/kaggle/input/datasets/dionisiusdh/indonesian-batik-motifs/batik-sekar/44.jpg
