i,j,pix_corr
340,343,0.988
341,342,0.988
341,343,0.9883
342,343,0.9758
344,345,0.9783
344,346,0.9886
344,347,0.9883
345,346,0.9882
345,347,0.9886
346,347,0.9759
348,349,0.978
350,351,0.9766
352,353,0.9801
354,355,0.9797
356,357,0.9795
358,359,0.9809
360,361,0.9799
362,363,0.9797
364,365,0.9792
366,367,0.979
368,369,0.9807
370,371,0.9806
372,373,0.9804
374,375,0.9803
376,377,0.9802
376,378,0.9757
376,379,0.975
377,378,0.9742
377,379,0.9747
378,379,0.9783
380,381,0.9789
382,383,0.9781
384,385,0.9822
386,387,0.9854
388,389,0.982
390,391,0.9853
392,393,0.9813
394,395,0.9838
396,397,0.983
398,399,0.9851
400,401,0.9811
402,403,0.9796
404,405,0.9812
406,407,0.9802
408,409,0.9808
408,410,0.9162
408,411,0.9144
409,410,0.9195
409,411,0.9184
410,411,0.98
412,413,0.9797
414,415,0.9786
416,417,0.9789
416,418,0.9738
416,419,0.9722
417,418,0.9738
417,419,0.9733
418,419,0.9788
420,421,0.9792
422,423,0.9803
424,425,0.9787
424,426,0.9242
424,427,0.9254
425,426,0.9246
425,427,0.926
426,427,0.9773
428,429,0.9786
430,431,0.9792
432,433,0.9805
432,434,0.9334
432,435,0.9323
433,434,0.9335
433,435,0.9327
434,435,0.9783
436,437,0.9802
438,439,0.9793
440,441,0.9803
442,443,0.9787
444,445,0.9794
446,447,0.9779
448,449,0.9784
450,451,0.9776
452,453,0.9788
454,455,0.9789
456,457,0.977
456,458,0.9233
456,459,0.923
457,458,0.923
457,459,0.923
458,459,0.9762
460,461,0.9782
460,462,0.9264
460,463,0.9262
461,462,0.9229
461,463,0.9222
462,463,0.9759
464,465,0.9804
466,467,0.9807
468,469,0.9792
470,471,0.9799
472,473,0.9799
474,475,0.9805
476,477,0.9795
478,479,0.9793
480,481,0.9783
482,483,0.9789
484,485,0.9776
486,487,0.9792
488,489,0.978
490,491,0.9791
492,493,0.9795
494,495,0.9793
496,497,0.9782
498,499,0.9793
500,501,0.9792
502,503,0.981
504,505,0.9793
506,507,0.9805
508,509,0.9788
510,511,0.9797
512,513,0.9829
514,515,0.9843
516,517,0.9826
516,518,0.9409
516,519,0.942
517,518,0.9437
517,519,0.9443
518,519,0.983
520,521,0.9828
522,523,0.9847
524,525,0.9817
526,527,0.9832
528,529,0.9796
528,530,0.9755
528,531,0.9748
529,530,0.9756
529,531,0.9754
530,531,0.9799
532,533,0.9796
532,534,0.9896
532,535,0.9894
533,534,0.9894
533,535,0.9896
534,535,0.9787
536,537,0.9802
538,539,0.9807
540,541,0.9806
542,543,0.9806
544,545,0.9757
546,547,0.9761
548,549,0.9768
550,551,0.9776
552,553,0.9764
554,555,0.9772
556,557,0.9762
558,559,0.9774
560,561,0.974
562,563,0.9744
564,565,0.974
566,567,0.9725
568,569,0.9743
568,570,0.979
568,571,0.9787
569,570,0.978
569,571,0.9787
570,571,0.9735
572,573,0.9734
574,575,0.973
576,577,0.9755
578,579,0.9739
580,581,0.9737
582,583,0.9747
584,585,0.9741
584,586,0.953
584,587,0.9528
585,586,0.9517
585,587,0.952
586,587,0.9738
588,589,0.9743
590,591,0.973
592,593,0.9757
594,595,0.9774
596,597,0.9756
598,599,0.9766
600,601,0.9748
602,603,0.9748
604,605,0.975
606,607,0.9756
608,609,0.9784
608,610,0.9726
608,611,0.9714
609,610,0.9709
609,611,0.9704
610,611,0.9796
612,613,0.979
612,614,0.9805
612,615,0.9803
613,614,0.9814
613,615,0.9816
614,615,0.9805
616,617,0.9782
618,619,0.9804
620,621,0.9785
620,622,0.9631
620,623,0.9611
621,622,0.9619
621,623,0.961
622,623,0.9802
624,625,0.9821
626,627,0.9816
628,629,0.9819
630,631,0.9819
632,633,0.9806
634,635,0.9813
636,637,0.9802
636,638,0.9327
636,639,0.9341
637,638,0.9317
637,639,0.9337
638,639,0.9796
640,641,0.982
642,643,0.9835
644,645,0.9812
646,647,0.9837
648,649,0.9819
648,650,0.9529
648,651,0.952
649,650,0.9511
649,651,0.9516
650,651,0.9834
652,653,0.9818
654,655,0.9833
656,657,0.9826
658,659,0.9827
660,661,0.983
662,663,0.9819
664,665,0.983
664,666,0.9065
664,667,0.9069
665,666,0.9058
665,667,0.9064
666,667,0.9824
668,669,0.9835
670,671,0.9826
672,673,0.9808
672,676,1.0
672,677,0.9808
672,680,1.0
672,681,0.9808
672,684,1.0
672,685,0.9808
673,676,0.9808
673,677,1.0
673,680,0.9808
673,681,1.0
673,684,0.9808
673,685,1.0
674,675,0.9814
674,678,1.0
674,679,0.9814
674,682,1.0
674,683,0.9814
674,686,1.0
674,687,0.9814
675,678,0.9814
675,679,1.0
675,682,0.9814
675,683,1.0
675,686,0.9814
675,687,1.0
676,677,0.9808
676,680,1.0
676,681,0.9808
676,684,1.0
676,685,0.9808
677,680,0.9808
677,681,1.0
677,684,0.9808
677,685,1.0
678,679,0.9814
678,682,1.0
678,683,0.9814
678,686,1.0
678,687,0.9814
679,682,0.9814
679,683,1.0
679,686,0.9814
679,687,1.0
680,681,0.9808
680,684,1.0
680,685,0.9808
681,684,0.9808
681,685,1.0
682,683,0.9814
682,686,1.0
682,687,0.9814
683,686,0.9814
683,687,1.0
684,685,0.9808
686,687,0.9814
688,689,0.9721
688,690,0.9068
688,691,0.9055
689,690,0.9052
689,691,0.9048
690,691,0.9728
692,693,0.9717
694,695,0.9741
696,697,0.9736
696,698,0.9763
696,699,0.9758
697,698,0.9766
697,699,0.9757
698,699,0.9738
700,701,0.9739
702,703,0.9738
704,705,0.9806
704,706,0.9795
704,707,0.9793
705,706,0.979
705,707,0.9783
706,707,0.9802
708,709,0.9797
710,711,0.9803
712,713,0.98
714,715,0.9811
716,717,0.9807
718,719,0.9811
720,721,0.978
722,723,0.9787
724,725,0.979
724,726,0.9259
724,727,0.9273
725,726,0.9256
725,727,0.9263
726,727,0.9798
728,729,0.9784
730,731,0.9796
732,733,0.9796
732,734,0.9058
732,735,0.9067
733,734,0.9084
733,735,0.9089
734,735,0.9791
736,737,0.9606
738,739,0.9615
740,741,0.9591
740,742,0.9108
740,743,0.9106
741,742,0.9097
741,743,0.9096
742,743,0.9593
744,745,0.9616
746,747,0.9633
748,749,0.9608
750,751,0.9611
752,753,0.9601
754,755,0.9603
756,757,0.9612
758,759,0.9599
760,761,0.9593
762,763,0.9611
764,765,0.9627
766,767,0.9605
768,769,0.9643
770,771,0.9647
772,773,0.9649
774,775,0.9647
776,777,0.9643
778,779,0.9658
780,781,0.9659
782,783,0.9657
784,785,0.9596
786,787,0.958
788,789,0.9584
790,791,0.9548
792,793,0.9596
794,795,0.9591
796,797,0.9605
798,799,0.9562
800,801,0.9562
802,803,0.958
804,805,0.9571
806,807,0.9589
808,809,0.956
810,811,0.9588
812,813,0.9576
814,815,0.9568
816,817,0.9594
816,818,0.9219
816,819,0.9208
817,818,0.9188
817,819,0.9188
818,819,0.96
820,821,0.9584
822,823,0.9596
824,825,0.9599
826,827,0.9606
828,829,0.9613
830,831,0.9593
832,833,0.9785
832,834,0.9045
832,835,0.9022
833,834,0.9019
834,835,0.9796
836,837,0.9782
838,839,0.9793
840,841,0.9792
842,843,0.9794
844,845,0.9783
844,846,0.9475
844,847,0.9482
845,846,0.9477
845,847,0.9477
846,847,0.9784
848,849,0.9657
850,851,0.9684
852,853,0.9657
854,855,0.9684
856,857,0.9659
858,859,0.9691
860,861,0.9663
860,862,0.9216
860,863,0.9237
861,862,0.9222
861,863,0.925
862,863,0.9672
864,865,0.9498
866,867,0.9499
868,869,0.9493
870,871,0.948
872,873,0.9474
872,874,0.9141
872,875,0.9135
873,874,0.9115
873,875,0.9133
874,875,0.948
876,877,0.9495
878,879,0.9463
880,881,0.9831
880,882,0.9627
880,883,0.9606
881,882,0.9621
881,883,0.9602
882,883,0.9822
884,885,0.9815
886,887,0.9827
888,889,0.9815
888,890,0.965
888,891,0.9643
889,890,0.9647
889,891,0.9644
890,891,0.9811
892,893,0.9809
894,895,0.9819
896,897,0.9539
898,899,0.9542
900,901,0.9544
902,903,0.9535
904,905,0.9531
904,906,0.9727
904,907,0.971
905,906,0.9703
905,907,0.9716
906,907,0.9507
908,909,0.9522
910,911,0.9488
912,913,0.9816
914,915,0.9808
916,917,0.9799
918,919,0.9809
920,921,0.9809
922,923,0.9799
924,925,0.9796
926,927,0.9795
928,929,0.9834
928,930,0.9112
928,931,0.9097
929,930,0.9113
929,931,0.9096
930,931,0.9834
932,933,0.9843
934,935,0.984
936,937,0.9833
936,938,0.9394
936,939,0.9395
937,938,0.9388
937,939,0.939
938,939,0.9835
940,941,0.9825
940,942,0.9743
940,943,0.9751
941,942,0.974
941,943,0.9753
942,943,0.9827
944,945,0.9782
946,947,0.9789
948,949,0.9768
950,951,0.9795
952,953,0.9764
952,954,0.97
952,955,0.9691
953,954,0.9702
953,955,0.9704
954,955,0.977
956,957,0.9763
958,959,0.9781
